iter	MultiRMSE
0	3.577245754
1	3.529997315
2	3.484467672
3	3.440901842
4	3.399257895
5	3.359671229
6	3.321704594
7	3.286144848
8	3.251574078
9	3.218813525
10	3.187393093
11	3.157583243
12	3.128909786
13	3.101868136
14	3.075708059
15	3.051076289
16	3.027554526
17	3.004972886
18	2.983611704
19	2.963480856
20	2.944071873
21	2.925635566
22	2.908229856
23	2.891671071
24	2.875871472
25	2.860931146
26	2.846356697
27	2.8326989
28	2.819852722
29	2.807442053
30	2.796074036
31	2.785236111
32	2.77435774
33	2.764523512
34	2.754953478
35	2.745760382
36	2.737184906
37	2.728699438
38	2.720846548
39	2.713583738
40	2.706523274
41	2.699896414
42	2.693393059
43	2.687334005
44	2.681657967
45	2.676037681
46	2.67081101
47	2.666073272
48	2.661597901
49	2.6572047
50	2.652992863
51	2.648961846
52	2.645026299
53	2.641558247
54	2.638112647
55	2.634863564
56	2.631799697
57	2.628775106
58	2.626011953
59	2.623212622
60	2.6207426
61	2.618297962
62	2.615988035
63	2.613711213
64	2.611576457
65	2.609580532
66	2.607730737
67	2.605957418
68	2.60424526
69	2.602671795
70	2.601200922
71	2.599776925
72	2.598464981
73	2.597071771
74	2.595833036
75	2.594608487
76	2.593381315
77	2.592325162
78	2.591303325
79	2.590358021
80	2.589309759
81	2.588484178
82	2.587601911
83	2.58669054
84	2.58582028
85	2.585058125
86	2.584337421
87	2.583687633
88	2.583012664
89	2.582383647
90	2.58176611
91	2.581237653
92	2.580726267
93	2.58015858
94	2.579781469
95	2.5792408
96	2.578744406
97	2.578333334
98	2.577866545
99	2.577456389
100	2.577010407
101	2.57659071
102	2.576209185
103	2.575851455
104	2.575502167
105	2.575148352
106	2.574855692
107	2.574526562
108	2.574217248
109	2.573964109
110	2.573666184
111	2.573364171
112	2.573083945
113	2.572859654
114	2.572634323
115	2.572391824
116	2.572182586
117	2.572015589
118	2.571812606
119	2.571601993
120	2.57142906
121	2.571259857
122	2.571072062
123	2.570886456
124	2.570736591
125	2.570594869
126	2.570477525
127	2.570334974
128	2.570199909
129	2.570090155
130	2.569958877
131	2.569836933
132	2.569699106
133	2.569610407
134	2.569475261
135	2.56937284
136	2.56924747
137	2.569149894
138	2.569042315
139	2.568918951
140	2.568830093
141	2.568730008
142	2.568648277
143	2.568568772
144	2.568505715
145	2.568405705
146	2.568333586
147	2.568269351
148	2.568186077
149	2.568109569
150	2.568030821
151	2.56793971
152	2.567851927
153	2.567786853
154	2.567735601
155	2.567671868
156	2.567616685
157	2.567549572
158	2.567458225
159	2.567375235
160	2.567303679
161	2.567256982
162	2.567222187
163	2.567168269
164	2.567115461
165	2.567049249
166	2.566973959
167	2.566918645
168	2.566898086
169	2.566875592
170	2.566816648
171	2.566764885
172	2.566691302
173	2.566661985
174	2.566613072
175	2.566556611
176	2.566503096
177	2.56645374
178	2.566419383
179	2.566355855
180	2.566309622
181	2.566260018
182	2.566231311
183	2.566190037
184	2.566138181
185	2.566098952
186	2.566061211
187	2.566028728
188	2.565995049
189	2.56596759
190	2.565940356
191	2.56590191
192	2.565851987
193	2.5658168
194	2.565777428
195	2.565738001
196	2.565714783
197	2.565682617
198	2.565659926
199	2.56564426
200	2.565618911
201	2.565576151
202	2.565538432
203	2.565520668
204	2.565492384
205	2.56546607
206	2.565428189
207	2.565408843
208	2.565392935
209	2.565366116
210	2.56533917
211	2.5653162
212	2.56527655
213	2.565234111
214	2.565211247
215	2.565165929
216	2.565132493
217	2.565110926
218	2.565094211
219	2.565078431
220	2.565043965
221	2.565013811
222	2.564990662
223	2.564968613
224	2.564948342
225	2.56491855
226	2.564905719
227	2.564879751
228	2.564862342
229	2.564849931
230	2.564828924
231	2.564807931
232	2.564793172
233	2.564777803
234	2.564756586
235	2.564728168
236	2.564703537
237	2.564682412
238	2.564657993
239	2.564635421
240	2.564609915
241	2.564595996
242	2.564578564
243	2.56455334
244	2.564538179
245	2.564510338
246	2.564481551
247	2.564460897
248	2.56444668
249	2.564425627
250	2.564408924
251	2.564388777
252	2.564378905
253	2.564362841
254	2.564340808
255	2.564323214
256	2.564304496
257	2.564293729
258	2.564273753
259	2.564253474
260	2.564240102
261	2.564201994
262	2.56417127
263	2.564161103
264	2.564145334
265	2.564124371
266	2.564105718
267	2.56408302
268	2.564072037
269	2.564059821
270	2.564048304
271	2.564035056
272	2.564018418
273	2.56400541
274	2.563993258
275	2.563971072
276	2.563957612
277	2.563948377
278	2.563932214
279	2.563921721
280	2.563908323
281	2.56389704
282	2.563881014
283	2.563870263
284	2.563850992
285	2.563832613
286	2.563822952
287	2.563814261
288	2.56379567
289	2.563784005
290	2.563773697
291	2.563760615
292	2.563743176
293	2.563727033
294	2.563706241
295	2.563697749
296	2.563677853
297	2.5636687
298	2.563654957
299	2.563646233
300	2.563632066
301	2.563608072
302	2.563599565
303	2.563586735
304	2.56357248
305	2.563559299
306	2.563536484
307	2.563517533
308	2.563506111
309	2.563489099
310	2.563470603
311	2.563455712
312	2.563446585
313	2.563435012
314	2.563425957
315	2.563409594
316	2.563396017
317	2.563380762
318	2.563363453
319	2.563346698
320	2.563336399
321	2.563327469
322	2.563316517
323	2.563301125
324	2.563278081
325	2.563266913
326	2.563253363
327	2.563239828
328	2.563218928
329	2.563211489
330	2.563203186
331	2.563196862
332	2.563185471
333	2.563163494
334	2.563145387
335	2.563132993
336	2.563120447
337	2.563105196
338	2.563092785
339	2.563077925
340	2.563068969
341	2.563055442
342	2.563035532
343	2.563021801
344	2.563011154
345	2.562999827
346	2.562990388
347	2.562978129
348	2.562950088
349	2.562937255
350	2.562924569
351	2.562911673
352	2.56289535
353	2.562884258
354	2.562863682
355	2.562847659
356	2.562818227
357	2.562810297
358	2.562796207
359	2.56279022
360	2.562770423
361	2.562760721
362	2.562750342
363	2.562740527
364	2.562730872
365	2.562710079
366	2.562690606
367	2.562675416
368	2.562660772
369	2.562649272
370	2.56263452
371	2.562624206
372	2.562600105
373	2.562589916
374	2.562574681
375	2.562561531
376	2.562549765
377	2.562538152
378	2.562526983
379	2.562512583
380	2.562500403
381	2.562480921
382	2.562457155
383	2.562438328
384	2.562420399
385	2.562403656
386	2.562390666
387	2.562370696
388	2.562356569
389	2.562339037
390	2.562322599
391	2.562308289
392	2.562297128
393	2.562286016
394	2.562264562
395	2.562248754
396	2.562233269
397	2.562220316
398	2.562203867
399	2.562190513
400	2.562171715
401	2.562158115
402	2.562139997
403	2.562122069
404	2.562105881
405	2.562088482
406	2.562076391
407	2.562050872
408	2.56204201
409	2.562029751
410	2.562015265
411	2.561993806
412	2.561977044
413	2.561958761
414	2.561938037
415	2.561919978
416	2.561909195
417	2.561892807
418	2.561874789
419	2.561863767
420	2.561845448
421	2.561829778
422	2.561814204
423	2.561792895
424	2.561780194
425	2.561766066
426	2.561746638
427	2.561736395
428	2.561722119
429	2.561704053
430	2.561684458
431	2.56167261
432	2.561655028
433	2.561634274
434	2.561625587
435	2.561611065
436	2.561593758
437	2.561579731
438	2.561561464
439	2.561530958
440	2.561513153
441	2.561492668
442	2.561477989
443	2.561459871
444	2.561443616
445	2.561428949
446	2.561416951
447	2.561406396
448	2.561389299
449	2.561372701
450	2.561351425
451	2.561337074
452	2.561317159
453	2.561299841
454	2.561280208
455	2.5612654
456	2.561245673
457	2.561228255
458	2.56121011
459	2.561182233
460	2.561169654
461	2.561153293
462	2.561133434
463	2.561122423
464	2.561106888
465	2.561085456
466	2.56106778
467	2.561052197
468	2.561032361
469	2.561011811
470	2.56099568
471	2.560974985
472	2.560961784
473	2.560947227
474	2.560935052
475	2.560915311
476	2.560900217
477	2.560886905
478	2.560869213
479	2.560854697
480	2.560841915
481	2.560822754
482	2.560812038
483	2.56079084
484	2.560774607
485	2.560755933
486	2.560744233
487	2.560726317
488	2.560712035
489	2.560691109
490	2.560675052
491	2.560649778
492	2.560630432
493	2.560613257
494	2.560600623
495	2.560581949
496	2.560560653
497	2.560542713
498	2.560529698
499	2.560516513
500	2.560495765
501	2.56048084
502	2.560461891
503	2.560448138
504	2.560434819
505	2.56041218
506	2.560389816
507	2.560368128
508	2.560351223
509	2.560338074
510	2.560325926
511	2.560312377
512	2.560300147
513	2.560282997
514	2.560266309
515	2.560247482
516	2.560231479
517	2.56021264
518	2.5601973
519	2.56017976
520	2.56016131
521	2.560147157
522	2.560131235
523	2.560114218
524	2.560101098
525	2.560090071
526	2.560072034
527	2.560058631
528	2.56004385
529	2.560027017
530	2.560015431
531	2.559994046
532	2.559975655
533	2.559954865
534	2.559940034
535	2.559918756
536	2.559904237
537	2.559887848
538	2.559871229
539	2.559850987
540	2.559828424
541	2.559812475
542	2.55979461
543	2.559776804
544	2.559761887
545	2.559746239
546	2.55973259
547	2.55972417
548	2.559708144
549	2.559693723
550	2.559679839
551	2.559659059
552	2.559642688
553	2.559624007
554	2.559601674
555	2.559587314
556	2.559569766
557	2.559549267
558	2.559537521
559	2.559527518
560	2.559508877
561	2.559490778
562	2.55947565
563	2.559460014
564	2.559448188
565	2.559430444
566	2.559419116
567	2.559402401
568	2.559386402
569	2.559371073
570	2.559359729
571	2.559349048
572	2.559333557
573	2.559315971
574	2.559306186
575	2.559285051
576	2.559273629
577	2.55925609
578	2.55924071
579	2.559223039
580	2.559206826
581	2.559187565
582	2.559167071
583	2.559148754
584	2.559129606
585	2.559116977
586	2.559095597
587	2.559077504
588	2.559068342
589	2.559057144
590	2.559039637
591	2.559029629
592	2.559018101
593	2.558998085
594	2.558979706
595	2.558961044
596	2.558948018
597	2.558933481
598	2.558921141
599	2.558905109
600	2.558892388
601	2.558871627
602	2.558862004
603	2.558846772
604	2.558833733
605	2.558816066
606	2.55880451
607	2.558792211
608	2.558776958
609	2.558765272
610	2.558751102
611	2.558738297
612	2.558719546
613	2.558707582
614	2.558695211
615	2.558669932
616	2.558654129
617	2.558635661
618	2.558620919
619	2.558609723
620	2.55858897
621	2.558575038
622	2.558564536
623	2.558545908
624	2.558527205
