iter	Passed	Remaining
0	167	335452
1	182	182407
2	197	131532
3	212	106186
4	228	91138
5	246	81978
6	262	74694
7	277	69125
8	294	65208
9	311	62054
10	327	59197
11	345	57237
12	364	55644
13	381	54152
14	398	52716
15	416	51608
16	431	50325
17	447	49220
18	464	48382
19	479	47485
20	496	46743
21	512	46121
22	528	45393
23	543	44747
24	559	44187
25	574	43599
26	590	43145
27	606	42707
28	621	42261
29	636	41765
30	651	41361
31	667	41020
32	683	40753
33	700	40495
34	716	40231
35	733	39999
36	749	39741
37	765	39501
38	780	39265
39	795	38999
40	810	38728
41	826	38543
42	842	38322
43	857	38124
44	873	37949
45	888	37731
46	903	37538
47	919	37377
48	934	37196
49	949	37019
50	965	36889
51	980	36740
52	996	36599
53	1012	36474
54	1028	36385
55	1042	36194
56	1059	36104
57	1075	36001
58	1089	35849
59	1104	35706
60	1121	35633
61	1135	35496
62	1151	35396
63	1167	35321
64	1184	35250
65	1199	35157
66	1215	35075
67	1230	34968
68	1244	34828
69	1260	34743
70	1277	34718
71	1292	34609
72	1307	34515
73	1323	34456
74	1339	34369
75	1354	34285
76	1371	34245
77	1388	34210
78	1403	34128
79	1418	34051
80	1435	33998
81	1451	33948
82	1467	33885
83	1483	33833
84	1499	33793
85	1514	33708
86	1529	33625
87	1543	33543
88	1558	33454
89	1572	33380
90	1588	33317
91	1602	33241
92	1617	33175
93	1632	33109
94	1650	33092
95	1665	33027
96	1680	32966
97	1694	32877
98	1710	32842
99	1724	32767
100	1740	32715
101	1754	32653
102	1769	32585
103	1785	32542
104	1800	32486
105	1815	32436
106	1830	32379
107	1845	32332
108	1860	32278
109	1875	32224
110	1889	32161
111	1904	32108
112	1922	32097
113	1937	32054
114	1952	32003
115	1966	31944
116	1982	31905
117	1996	31838
118	2010	31786
119	2025	31740
120	2044	31742
121	2058	31685
122	2073	31639
123	2088	31591
124	2104	31562
125	2118	31508
126	2134	31479
127	2150	31456
128	2167	31434
129	2182	31392
130	2198	31364
131	2214	31334
132	2229	31295
133	2244	31254
134	2261	31239
135	2276	31198
136	2292	31168
137	2306	31125
138	2322	31090
